title,description,gamemaster,system,genres,tone,age_suitability,minimum_players,optimal_players,maximum_players
"Man Without a Face, The",Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Agnese Vaneev,Call of Cthulhu,"Survival, Horror",Serious,Kids,3,4,6
Don's Plum,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Arie Cragell,Dungeons & Dragons 5e,"Historical, Dungeon Crawl",Serious,Teens,3,3,4
Li'l Abner,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",Reinwald Minchi,Pathfinder 1e,"Military, Horror",Goofy,Anyone,2,4,6
Lore,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Sholom Clurow,Call of Cthulhu,"Horror, Slice of Life",Dark,Anyone,2,4,5
"Swordsman II (Legend of the Swordsman, The) (Xiao ao jiang hu zhi: Dong Fang Bu Bai)",In congue. Etiam justo. Etiam pretium iaculis justo.,Chrisy Scatchar,Call of Cthulhu,Pulp,Light-hearted,Anyone,3,3,4
Enter the Void,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Pier Lawey,Pathfinder 2e,"Science Fiction, Dungeon Crawl",Serious,Anyone,3,4,4
Wrong Is Right (a.k.a. The Man With the Deadly Lens),"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Sholom Clurow,Pathfinder 2e,Horror,Light-hearted,Anyone,3,3,4
Ride Beyond Vengeance,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",Kissee De Ferraris,Savage Worlds,"Superhero, Slice of Life",Goofy,Anyone,3,3,6
"Boy with Green Hair, The",Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Sholom Clurow,Wanderhome,Fantasy,Goofy,Anyone,3,4,6
Stuart Saves His Family,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Purcell Donegan,Call of Cthulhu,Superhero,Serious,Kids,3,3,6
Vääpeli Körmy ja kahtesti laukeava,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Harrison Wardlow,Shadowrun,"Historical, Slice of Life",Light-hearted,Kids,2,3,4
"Hunchback of Notre Dame, The","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Mabelle Godfree,Pathfinder 2e,"Western, Dungeon Crawl",Dark,Adults,2,3,5
"Flintstone Kids' Just Say No Special, The","Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Harrison Wardlow,Pathfinder 2e,"Survival, Slice of Life",Goofy,Adults,2,4,5
Even Money,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Melody Lyfe,Dungeons & Dragons 5e,Horror,Dark,Kids,3,3,4
Power/Rangers,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Lilias Powley,Savage Worlds,Space Opera,Dark,Anyone,2,4,5
Friday the 13th,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Tisha Branche,Dungeons & Dragons 5e,Superhero,Serious,Anyone,2,3,5
Stagecoach,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Lilias Powley,Call of Cthulhu,Fantasy,Dark,Anyone,3,3,6
Re-cycle (Gwai wik),"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",Susy Towell,Dungeons & Dragons 5e,Romance,Light-hearted,Anyone,3,4,5
Return to Horror High,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Say Rawood,Pathfinder 1e,Survival,Dark,Anyone,3,3,5
"Jails, Hospitals & Hip-Hop","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Dru Dunkirk,Wanderhome,Mystery,Goofy,Anyone,3,4,6
Magnolia,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Bab Selborne,Pathfinder 2e,Horror,Light-hearted,Anyone,2,3,5
Seize the Day,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Richmound Mills,Savage Worlds,Horror,Serious,Anyone,3,4,6
